qseqid	NV001	NV002	NV003	NV004	NV005	NV006	NV007	NV008	NV009	NT010	NT011	NT012	NT013	NT014	NT015	NT016	NT017	NT018	NH019	NH020	NH021	NH022	NH023	NH024	NH025	NH026	VU027	VU028	VU029	VU030	VU031	VU032	VU033	VU034	VU035	VO036	VO037	VO038	VO039	VO040	VO041	VO042	VO043	VD044	VD045	VD046	VD047	VD048	VD049	VD050	VD051	VD052	EM053	EM054	EM055	EM056	EM057	EM058	EM059	EM060	EM061	ES062	ES063	ES064	ES065	ES066	ES067	ES068	ES069	ES070	EV071	EV072	EV073	EV074	EV075	EV076	EV077	EV078	SN079	SN080	SN081	SN082	SN083	SN084	SN085	SN086	SN087	SV088	SV089	SV090	SV091	SV092	SV093	SV094	SV095	SM096	SM097	SM098	SM099	SM100	SM101	SM102	SM103	SM104	FF105	FF106	FF107	FF108	FF109	FF110	FF111	FF112	FL113	FL114	FL115	FL116	FL117	FL118	FL119	FL120	FM121	FM122	FM123	FM124	FM125	FM126	FM127	FM128	FM129	FM130
6690606e1c8ad80ef57ed02d786512bad7608ff1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	574	319	0	0	0	0	0	0	178	0	36	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	18	0	1618	0	849	0	0	1965	0	0	0	1488	0	0	0	717	0	271	0	0	0	0	52	838	0	0	0	144	86	0	0	0	0	0	0	0	0	0	0	0	1573	0	0	0	0	0	0	0	0	734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	791	0	1305	0	0	0	0	19	0	0	0	161
0f1a7c9c1b311f2e5930544623018598cc9e05f7	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1156	5166	0	0	0	92	0	0	172	0	0	0	0	632	0	0	0	0	0	313	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	955	125	0	0	0	0	0	0	492	0	0	0	3228	0	0	0	0	0	0	0
3be3cd6256fcc8741575b9621783eee6ef41286d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9157	0	0	629	0	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	123	122	0	0	2379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1161	0	0	0	0	0	0	0	0	0	0	0	7866	0	0	0	0	0	74	0	0	0	0	0	0	0	0	4832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77bd35530c2c8408d23b3525908526794b09055d	206	0	0	36	0	5	0	0	9	0	55	0	0	67	0	151	0	323	28	48	329	19	31	25	0	0	15	0	5	30	0	5	27	630	73	0	0	0	247	30	4	0	57	61	0	234	136	107	379	0	0	92	171	4	55	550	118	575	1218	0	0	2	0	55	0	246	35	2	241	0	42	138	268	0	527	201	349	298	19	50	1348	36	0	0	0	283	1127	25	27	69	12	0	136	193	214	71	685	30	0	57	33	14	0	0	1183	47	327	0	75	0	4	0	410	194	39	122	0	4	114	0	200	0	6	0	0	155	0	0	0	233
ef9b606b58543ed8319aa0ce2b4ebae25b92d719	0	0	0	831	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6836	0	0	3	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	4999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	56	0	0	0	0	0	0	5394	15881	0	0	0	27	0	0	0	0	0	0	0	519	0	0	0	0	23	0	0	0	0	0	0	0	0	0	120
02d9167bbc964d159357f2dedbd095495a264b25	6	0	0	0	0	0	0	896	0	0	27	885	0	0	0	0	0	455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1019	0	0	15	0	0	0	0	0	0	8066	0	0	711	0	0	1663	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	594	82	0	0	837	0	0	0	0	0	0	103	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4ade8554168d34f6d83d0a7d102c0acb3c4f5d14	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	321	0	0	57	0	0	8	0	223	0	0	0	0	8	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	126	28	317	0	1505	20	0	0	0	0	0	0	0	0	0	0	0	9	54	0	0	12	0	0	0	0	0	0	24	0	0	0	0	0	805	23	0	9	0	0	1186	2758	137	76	76	0	0	0	730	0	0	13	79	145	0	22	0	0	0	0	0	74	0	0	0	0	299	614	0	0	450	0	1101	0	797	4888	3
013f5ce0c9f71560aec861c971cebade1ef30049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	452	0	0	1106	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11089	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2b67714d43ae8e5e56b416f5e9a84bbd86601959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3483	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2877	0	0	758	1030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38655baaa1f7d61f7931bc70186f9abdad122c8d	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	24	0	0	0	0	0	13	0	0	0	0	0	144	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399	0	0	0	0	0	0	0	0	17524	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	32	2462	0	0	0	0	0
